            kk          ep11          ep22          ep33          ep23          ep13          ep12         sig11         sig22         sig33         sig23         sig13         sig12
           200     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00
           400    -0.245E-07     0.000E+00     0.245E-07     0.123E-07     0.000E+00    -0.123E-07     0.329E-17     0.000E+00     0.583E-02     0.000E+00    -0.139E-09    -0.000E+00
           600    -0.333E-07     0.000E+00     0.333E-07     0.166E-07     0.000E+00    -0.166E-07     0.693E-17     0.000E+00     0.583E-02     0.000E+00    -0.201E-09    -0.000E+00
           800    -0.396E-07     0.000E+00     0.396E-07     0.198E-07     0.000E+00    -0.198E-07     0.988E-17     0.000E+00     0.583E-02     0.000E+00    -0.240E-09    -0.000E+00
          1000    -0.490E-07     0.000E+00     0.490E-07     0.245E-07     0.000E+00    -0.245E-07     0.143E-16     0.000E+00     0.583E-02     0.000E+00    -0.289E-09    -0.000E+00
          1200    -0.586E-07     0.000E+00     0.586E-07     0.293E-07     0.000E+00    -0.293E-07     0.218E-16     0.000E+00     0.583E-02     0.000E+00    -0.356E-09    -0.000E+00
          1400    -0.728E-07     0.000E+00     0.728E-07     0.364E-07     0.000E+00    -0.364E-07     0.309E-16     0.000E+00     0.583E-02     0.000E+00    -0.424E-09    -0.000E+00
          1600    -0.107E-06     0.000E+00     0.107E-06     0.537E-07     0.000E+00    -0.537E-07     0.673E-16     0.000E+00     0.583E-02     0.000E+00    -0.626E-09    -0.000E+00
          1800    -0.160E-06     0.000E+00     0.160E-06     0.801E-07     0.000E+00    -0.801E-07     0.150E-15     0.000E+00     0.583E-02     0.000E+00    -0.935E-09    -0.000E+00
          2000    -0.267E-06     0.000E+00     0.267E-06     0.134E-06     0.000E+00    -0.134E-06     0.417E-15     0.000E+00     0.583E-02     0.000E+00    -0.156E-08    -0.000E+00
          2200    -0.507E-06     0.000E+00     0.507E-06     0.253E-06     0.000E+00    -0.253E-06     0.150E-14     0.000E+00     0.583E-02     0.000E+00    -0.295E-08    -0.000E+00
          2400    -0.922E-06     0.000E+00     0.922E-06     0.461E-06     0.000E+00    -0.461E-06     0.485E-14     0.000E+00     0.583E-02     0.000E+00    -0.532E-08    -0.000E+00
          2600    -0.152E-05     0.000E+00     0.152E-05     0.760E-06     0.000E+00    -0.760E-06     0.135E-13     0.000E+00     0.583E-02     0.000E+00    -0.885E-08    -0.000E+00
          2800    -0.239E-05     0.000E+00     0.239E-05     0.120E-05     0.000E+00    -0.120E-05     0.331E-13     0.000E+00     0.582E-02     0.000E+00    -0.139E-07    -0.000E+00
          3000    -0.362E-05     0.000E+00     0.362E-05     0.181E-05     0.000E+00    -0.181E-05     0.762E-13     0.000E+00     0.582E-02     0.000E+00    -0.211E-07    -0.000E+00
          3200    -0.511E-05     0.000E+00     0.511E-05     0.255E-05     0.000E+00    -0.255E-05     0.151E-12     0.000E+00     0.581E-02     0.000E+00    -0.297E-07    -0.000E+00
          3400    -0.686E-05     0.000E+00     0.686E-05     0.343E-05     0.000E+00    -0.343E-05     0.272E-12     0.000E+00     0.581E-02     0.000E+00    -0.398E-07    -0.000E+00
          3600    -0.890E-05     0.000E+00     0.890E-05     0.445E-05     0.000E+00    -0.445E-05     0.458E-12     0.000E+00     0.580E-02     0.000E+00    -0.515E-07    -0.000E+00
          3800    -0.113E-04     0.000E+00     0.113E-04     0.563E-05     0.000E+00    -0.563E-05     0.730E-12     0.000E+00     0.579E-02     0.000E+00    -0.650E-07    -0.000E+00
          4000    -0.139E-04     0.000E+00     0.139E-04     0.696E-05     0.000E+00    -0.696E-05     0.111E-11     0.000E+00     0.578E-02     0.000E+00    -0.803E-07    -0.000E+00
          4200    -0.169E-04     0.000E+00     0.169E-04     0.844E-05     0.000E+00    -0.844E-05     0.164E-11     0.000E+00     0.577E-02     0.000E+00    -0.974E-07    -0.000E+00
          4400    -0.202E-04     0.000E+00     0.202E-04     0.101E-04     0.000E+00    -0.101E-04     0.235E-11     0.000E+00     0.576E-02     0.000E+00    -0.116E-06    -0.000E+00
          4600    -0.238E-04     0.000E+00     0.238E-04     0.119E-04     0.000E+00    -0.119E-04     0.326E-11     0.000E+00     0.575E-02     0.000E+00    -0.137E-06    -0.000E+00
          4800    -0.278E-04     0.000E+00     0.278E-04     0.139E-04     0.000E+00    -0.139E-04     0.443E-11     0.000E+00     0.573E-02     0.000E+00    -0.159E-06    -0.000E+00
          5000    -0.321E-04     0.000E+00     0.321E-04     0.161E-04     0.000E+00    -0.161E-04     0.590E-11     0.000E+00     0.572E-02     0.000E+00    -0.184E-06    -0.000E+00
          5200    -0.368E-04     0.000E+00     0.368E-04     0.184E-04     0.000E+00    -0.184E-04     0.771E-11     0.000E+00     0.570E-02     0.000E+00    -0.210E-06    -0.000E+00
          5400    -0.418E-04     0.000E+00     0.418E-04     0.209E-04     0.000E+00    -0.209E-04     0.994E-11     0.000E+00     0.568E-02     0.000E+00    -0.238E-06    -0.000E+00
          5600    -0.473E-04     0.000E+00     0.473E-04     0.237E-04     0.000E+00    -0.237E-04     0.127E-10     0.000E+00     0.566E-02     0.000E+00    -0.268E-06    -0.000E+00
          5800    -0.534E-04     0.000E+00     0.534E-04     0.267E-04     0.000E+00    -0.267E-04     0.161E-10     0.000E+00     0.564E-02     0.000E+00    -0.301E-06    -0.000E+00
          6000    -0.574E-04     0.000E+00     0.574E-04     0.287E-04     0.000E+00    -0.287E-04     0.185E-10     0.000E+00     0.562E-02     0.000E+00    -0.322E-06    -0.000E+00
          6200    -0.599E-04     0.000E+00     0.599E-04     0.300E-04     0.000E+00    -0.300E-04     0.201E-10     0.000E+00     0.561E-02     0.000E+00    -0.336E-06    -0.000E+00
          6400    -0.611E-04     0.000E+00     0.611E-04     0.305E-04     0.000E+00    -0.305E-04     0.209E-10     0.000E+00     0.561E-02     0.000E+00    -0.342E-06    -0.000E+00
          6600    -0.617E-04     0.000E+00     0.617E-04     0.308E-04     0.000E+00    -0.308E-04     0.213E-10     0.000E+00     0.561E-02     0.000E+00    -0.346E-06    -0.000E+00
          6800    -0.625E-04     0.000E+00     0.625E-04     0.312E-04     0.000E+00    -0.312E-04     0.219E-10     0.000E+00     0.560E-02     0.000E+00    -0.350E-06    -0.000E+00
