    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
     200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.17651E+11  -0.3510530   0.0000000   0.0000000   1.0000000    0.000000000000000
     400   0.81511E-01   0.74472E-05   0.97971E+02   0.18242E-04   0.39996E+02   0.26428E+03   0.19098E+11  26.6595141  -0.0000001   0.0000000   1.0000000    0.000000000000000
     600   0.81509E-01   0.13555E-04   0.97961E+02   0.33204E-04   0.39993E+02   0.21640E+03   0.20849E+11  25.5124925  -0.0000001   0.0000000   1.0000000    0.000000000000000
     800   0.81508E-01   0.19089E-04   0.97953E+02   0.46759E-04   0.39989E+02   0.28653E+03   0.22974E+11  24.3021118  -0.0000002   0.0000000   1.0000000    0.000000000000000
    1000   0.81506E-01   0.23379E-04   0.97946E+02   0.57268E-04   0.39986E+02   0.11809E+03   0.24335E+11  23.6112430  -0.0000002   0.0000000   1.0000000    0.000000000000000
    1200   0.81505E-01   0.28281E-04   0.97939E+02   0.69275E-04   0.39983E+02   0.19237E+03   0.26289E+11  22.7150920  -0.0000003   0.0000000   1.0000000    0.000000000000000
    1400   0.81504E-01   0.32451E-04   0.97932E+02   0.79488E-04   0.39980E+02   0.10599E+03   0.27988E+11  22.0131767  -0.0000003   0.0000000   1.0000000    0.000000000000000
    1600   0.81503E-01   0.36772E-04   0.97925E+02   0.90074E-04   0.39978E+02   0.14667E+03   0.29908E+11  21.2934799  -0.0000004   0.0000000   1.0000000    0.000000000000000
    1800   0.81502E-01   0.40958E-04   0.97919E+02   0.10033E-03   0.39975E+02   0.18025E+03   0.31470E+11  20.7567057  -0.0000004   0.0000000   1.0000000    0.000000000000000
    2000   0.81501E-01   0.44873E-04   0.97913E+02   0.10992E-03   0.39973E+02   0.17647E+03   0.33101E+11  20.2376066  -0.0000005   0.0000000   1.0000000    0.000000000000000
    2200   0.81499E-01   0.48559E-04   0.97907E+02   0.11895E-03   0.39970E+02   0.13214E+03   0.34732E+11  19.7555278  -0.0000005   0.0000000   1.0000000    0.000000000000000
    2400   0.81498E-01   0.52441E-04   0.97901E+02   0.12845E-03   0.39968E+02   0.16838E+03   0.36329E+11  19.3152996  -0.0000005   0.0000000   1.0000000    0.000000000000000
    2600   0.81498E-01   0.56292E-04   0.97896E+02   0.13789E-03   0.39966E+02   0.22953E+03   0.37858E+11  18.9202298  -0.0000006   0.0000000   1.0000000    0.000000000000000
    2800   0.81496E-01   0.59518E-04   0.97890E+02   0.14579E-03   0.39963E+02   0.13099E+03   0.39234E+11  18.5843774  -0.0000006   0.0000000   1.0000000    0.000000000000000
    3000   0.81495E-01   0.62739E-04   0.97885E+02   0.15368E-03   0.39961E+02   0.53873E+02   0.40440E+11  18.3042628  -0.0000006   0.0000000   1.0000000    0.000000000000000
    3200   0.81494E-01   0.66575E-04   0.97880E+02   0.16307E-03   0.39959E+02   0.17661E+03   0.42002E+11  17.9595414  -0.0000007   0.0000000   1.0000000    0.000000000000000
