KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
    200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.44127E+10  -0.7021061   0.0000000   0.0000000   1.0000000    0.000000000000000
    400   0.93229E-01   0.87940E-06   0.11206E+03   0.21541E-05   0.45750E+02   0.70882E+01   0.51453E+10  58.8433381  -0.0000000   0.0000000   1.0000000    0.000000000000000
    600   0.94758E-01   0.95070E-06   0.11390E+03   0.23287E-05   0.46500E+02   0.64674E-01   0.53501E+10  58.6625885  -0.0000000   0.0000000   1.0000000    0.000000000000000
    800   0.96286E-01   0.11012E-05   0.11574E+03   0.26975E-05   0.47250E+02   0.25559E+02   0.55366E+10  58.6062991  -0.0000000   0.0000000   1.0000000    0.000000000000000
   1000   0.97814E-01   0.11012E-05   0.11758E+03   0.26975E-05   0.48000E+02   0.17656E+02   0.55366E+10  59.5465071  -0.0000000   0.0000000   1.0000000    0.000000000000000
   1200   0.99343E-01   0.11012E-05   0.11941E+03   0.26975E-05   0.48750E+02   0.10813E+02   0.55366E+10  60.4867151  -0.0000000   0.0000000   1.0000000    0.000000000000000
   1400   0.10087E+00   0.11092E-05   0.12125E+03   0.27169E-05   0.49500E+02   0.50486E-13   0.56049E+10  61.0517022  -0.0000000   0.0000000   1.0000000    0.000000000000000
   1600   0.10240E+00   0.11092E-05   0.12309E+03   0.27169E-05   0.50250E+02  -0.16631E-12   0.56049E+10  61.9861671  -0.0000000   0.0000000   1.0000000    0.000000000000000
   1800   0.10393E+00   0.11092E-05   0.12492E+03   0.27169E-05   0.51000E+02  -0.15729E+02   0.56049E+10  62.9206319  -0.0000000   0.0000000   1.0000000    0.000000000000000
   2000   0.10546E+00   0.12597E-05   0.12676E+03   0.30856E-05   0.51750E+02   0.25559E+02   0.57914E+10  62.8185053  -0.0000000   0.0000000   1.0000000    0.000000000000000
   2200   0.10698E+00   0.12597E-05   0.12860E+03   0.30856E-05   0.52500E+02   0.19661E+02   0.57914E+10  63.7378005  -0.0000000   0.0000000   1.0000000    0.000000000000000
   2400   0.10851E+00   0.12597E-05   0.13044E+03   0.30856E-05   0.53250E+02   0.10387E+02   0.57914E+10  64.6570957  -0.0000000   0.0000000   1.0000000    0.000000000000000
