    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
     200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
     400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
     600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
     800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    1000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    1200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    1400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    1600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    1800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    2000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    2200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    2400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    2600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    2800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    3000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    3200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    3400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    3600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    3800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    4000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
